name,category_ids,sku,regular_price,stock,image_id/gallery_image_ids,descripcion,PPUM
LECHE CONDENSADA TARRO 48X397,REPOSTERIA,0200018,2050,230,https://www.cencocal.cl/imagenes/0200018.jpg,,$5164 POR LT
ECCO CEBADA 24x50g,CAFE Y CEBADA,0200263,1500,0,https://www.cencocal.cl/imagenes/0200263.jpg,,$30000 POR KG
NESCAFE DOLCA TARRO 24x50g,CAFE Y CEBADA,0200328,2250,21,https://www.cencocal.cl/imagenes/0200328.jpg,,$45000 POR KG
MILO ACTIGEN TIRA 6x20x28gr,SABORIZANTES,0200346,10330,142,https://www.cencocal.cl/imagenes/0200346.jpg,,$368929 POR KG
NESCAFE TRADICION TARRO 24X170,CAFE Y CEBADA,0200387,8300,40,https://www.cencocal.cl/imagenes/0200387.jpg,,$48824 POR KG
MILO 24 X 300.,SABORIZANTES,0200395,3790,60,https://www.cencocal.cl/imagenes/0200395.jpg,,
ECCO 24 X 100,CAFE Y CEBADA,0200417,2520,46,https://www.cencocal.cl/imagenes/0200417.jpg,,$25200 POR KG
ECCO 24 X 170,CAFE Y CEBADA,0200425,3410,100,https://www.cencocal.cl/imagenes/0200425.jpg,,$20059 POR KG
NESCAFE DOLCA TARRO 24 X 100,CAFE Y CEBADA,0200433,4450,34,https://www.cencocal.cl/imagenes/0200433.jpg,,$44500 POR KG
NESCAFE DOLCA TARRO 24 X 170,CAFE Y CEBADA,0200441,5740,0,https://www.cencocal.cl/imagenes/0200441.jpg,,$33765 POR KG
NESQUIK CHOCOLATE 14x400,SABORIZANTES,0200492,3250,22,https://www.cencocal.cl/imagenes/0200492.jpg,,$8125 POR KG
POLVO IMPERIAL SOBRE 6x12x100g,REPOSTERIA,0200506,1051,0,https://www.cencocal.cl/imagenes/0200506.jpg,,$10510 POR KG
SOPA MAGGI POLLO/FIDEOS 20x70g,INSTANTANEOS Y SOPAS,0200620,640,0,https://www.cencocal.cl/imagenes/0200620.jpg,,$9143 POR KG
SOPA MAGGI POLLO/ARROZ 20x70g,INSTANTANEOS Y SOPAS,0200638,640,0,https://www.cencocal.cl/imagenes/0200638.jpg,,$9143 POR KG
SOPA MAGGI CARACOLITO 16x76g,INSTANTANEOS Y SOPAS,0200646,640,0,https://www.cencocal.cl/imagenes/0200646.jpg,,$8421 POR KG
CREMA MAGGI ESPARRAGO 20x68g,INSTANTANEOS Y SOPAS,020070K,660,7,https://www.cencocal.cl/imagenes/020070K.jpg,,$9706 POR KG
CREMA MAGGI POLLO 20x72g,INSTANTANEOS Y SOPAS,0200735,660,0,https://www.cencocal.cl/imagenes/0200735.jpg,,$9167 POR KG
CREMA MAGGI CHOCLO 20x79g,INSTANTANEOS Y SOPAS,0200743,660,6,https://www.cencocal.cl/imagenes/0200743.jpg,,$8354 POR KG
TUCO TOMATE CON CARNE 24X245GR,SALSA DE TOMATE,0200778,1760,107,https://www.cencocal.cl/imagenes/0200778.jpg,,$7184 POR KG
NESCAFE LATA 24 X 100,CAFE Y CEBADA,0200867,5680,71,https://www.cencocal.cl/imagenes/0200867.jpg,,$56800 POR KG
SOPA MAGGI POLLO/SEMOLA 20x68g,INSTANTANEOS Y SOPAS,0200891,640,0,https://www.cencocal.cl/imagenes/0200891.jpg,,$9412 POR KG
SOPA MAGGI COSTILLA 20x60g,INSTANTANEOS Y SOPAS,0200913,640,0,https://www.cencocal.cl/imagenes/0200913.jpg,,$10667 POR KG
CALDO MAGGI AVE 36x48x11gr,CALDOS Y BASES,0200921,5930,1,https://www.cencocal.cl/imagenes/0200921.jpg,,$11231 POR KG
CALDO MAGGI CARNE 36x48x10gr,CALDOS Y BASES,0200930,5930,2,https://www.cencocal.cl/imagenes/0200930.jpg,,$12354 POR KG
CALDO MAGGI COSTILLA 36x48x11gr,CALDOS Y BASES,0200948,5310,8,https://www.cencocal.cl/imagenes/0200948.jpg,,$10057 POR KG
NESCAFE DECAF 24X170 GR.,CAFE Y CEBADA,0200972,10220,42,https://www.cencocal.cl/imagenes/0200972.jpg,,$60118 POR KG
NESCAFE GRANULADO 77x96x1.8g,CAFE Y CEBADA,020099K,17422,0,https://www.cencocal.cl/imagenes/020099K.jpg,,$967889 POR KG
MANJAR NESTLE BOLSA 48x200g,MANJAR,0201006,1204,24,https://www.cencocal.cl/imagenes/0201006.jpg,,$6020 POR KG
CALDO MAGGI VERDURA 36x48x11gr,CALDOS Y BASES,020103K,5960,148,https://www.cencocal.cl/imagenes/020103K.jpg,,$11288 POR KG
MANJAR NESTLE 12 X 1,MANJAR,0201065,3790,114,https://www.cencocal.cl/imagenes/0201065.jpg,,$3790 POR KG
MANJAR NESTLE 24 X 500.,MANJAR,0201090,2876,40,https://www.cencocal.cl/imagenes/0201090.jpg,,$5752 POR KG
CALDO GOUR. CARNE 18x6u,CALDOS Y BASES,0201500,599,388,https://www.cencocal.cl/imagenes/0201500.jpg,,
CALDO GOUR. POLLO 18x6u,CALDOS Y BASES,0201501,599,349,https://www.cencocal.cl/imagenes/0201501.jpg,,
CALDO GOUR. VERDURAS 18x6u,CALDOS Y BASES,0201503,599,326,https://www.cencocal.cl/imagenes/0201503.jpg,,
CALDO GOUR. SAZON.ARROZ 18x6u,CALDOS Y BASES,0201504,599,156,https://www.cencocal.cl/imagenes/0201504.jpg,,
SALSA DE SOYA LA PRIMERA 6x1L,ADEREZOS Y SALSAS,0201505,2224,16,https://www.cencocal.cl/imagenes/0201505.jpg,,$2224 POR LT
SALSA DE SOYA LA PRIMER 15x250,ADEREZOS Y SALSAS,0201506,650,68,https://www.cencocal.cl/imagenes/0201506.jpg,,$2600 POR LT
ESENCIA VAINILLA PRIMERA 6x1l,REPOSTERIA,0201507,1673,17,https://www.cencocal.cl/imagenes/0201507.jpg,,$1673 POR LT
ESENCIA VAINI. PRIMERA 15x250,REPOSTERIA,0201508,714,70,https://www.cencocal.cl/imagenes/0201508.jpg,,
CALDO GOUR. COSTILLA 18x6u,CALDOS Y BASES,0201510,599,378,https://www.cencocal.cl/imagenes/0201510.jpg,,
SALSA P/UNT YOG/CIB LIG 12x200,COCTEL Y OTROS SNACKS,0201513,1561,7,https://www.cencocal.cl/imagenes/0201513.jpg,,$7805 POR LT
SALSA P/UN AJO/OREG LIG 12x200,COCTEL Y OTROS SNACKS,0201515,1561,8,https://www.cencocal.cl/imagenes/0201515.jpg,,$7805 POR LT
CALDO GOUR.TOCIN/AJO/CEB.18x6u,CALDOS Y BASES,0201520,599,181,https://www.cencocal.cl/imagenes/0201520.jpg,,
SALSA FRAMBUESA GOURMET 14x280,REPOSTERIA,0201530,2122,19,https://www.cencocal.cl/imagenes/0201530.jpg,,$7579 POR LT
SALSA CHOCOLATE GOURMET 14x280,REPOSTERIA,0201531,2122,20,https://www.cencocal.cl/imagenes/0201531.jpg,,$7579 POR LT
SALSA CARAMELO GOURMET 14x300g,REPOSTERIA,0201532,2122,21,https://www.cencocal.cl/imagenes/0201532.jpg,,$7073 POR KG
POLVO HORNEAR GOURMET 24x100g,REPOSTERIA,0201533,842,25,https://www.cencocal.cl/imagenes/0201533.jpg,,$8420 POR KG
SOPA GOUR. COSTI/FIDEOS 21x62g,INSTANTANEOS Y SOPAS,0201535,420,70,https://www.cencocal.cl/imagenes/0201535.jpg,,$6774 POR KG
SOPA GOUR. POLLO/FIDEO 21x70g,INSTANTANEOS Y SOPAS,0201536,420,81,https://www.cencocal.cl/imagenes/0201536.jpg,,$6000 POR KG
SOPA GOUR. CARACOLITOS 18x74g,INSTANTANEOS Y SOPAS,0201539,420,63,https://www.cencocal.cl/imagenes/0201539.jpg,,$5676 POR KG
SALSA ALFREDO GOURMET 25x41gr,SALSA DE TOMATE,0201540,785,24,https://www.cencocal.cl/imagenes/0201540.jpg,,$19146 POR KG
SALSA CARNE GOURMET 25x30gr,SALSA DE TOMATE,0201541,785,41,https://www.cencocal.cl/imagenes/0201541.jpg,,$26167 POR KG
SALSA BLANCA GOURMET 25x36gr,SALSA DE TOMATE,0201542,785,24,https://www.cencocal.cl/imagenes/0201542.jpg,,$21806 POR KG
