name,category_ids,sku,regular_price,stock,image_id/gallery_image_ids,descripcion
LECHE CONDENSADA TARRO 48X397,REPOSTERIA,0200018,1930,696,https://www.cencocal.cl/imagenes/0200018.jpg,
ECCO CEBADA 24x50g,CAFE Y CEBADA,0200263,1410,78,https://www.cencocal.cl/imagenes/0200263.jpg,
NESCAFE DOLCA TARRO 24x50g,CAFE Y CEBADA,0200328,2130,73,https://www.cencocal.cl/imagenes/0200328.jpg,
MILO ACTIGEN TIRA 6x20x28gr,SABORIZANTES,0200346,9310,12,https://www.cencocal.cl/imagenes/0200346.jpg,
NESCAFE TRADICION TARRO 24X170,CAFE Y CEBADA,0200387,7530,204,https://www.cencocal.cl/imagenes/0200387.jpg,
MILO 24 X 300.,SABORIZANTES,0200395,3410,127,https://www.cencocal.cl/imagenes/0200395.jpg,
ECCO 24 X 100,CAFE Y CEBADA,0200417,2360,72,https://www.cencocal.cl/imagenes/0200417.jpg,
ECCO 24 X 170,CAFE Y CEBADA,0200425,3200,125,https://www.cencocal.cl/imagenes/0200425.jpg,
NESCAFE DOLCA TARRO 24 X 100,CAFE Y CEBADA,0200433,4130,5,https://www.cencocal.cl/imagenes/0200433.jpg,
NESCAFE DOLCA TARRO 24 X 170,CAFE Y CEBADA,0200441,5330,49,https://www.cencocal.cl/imagenes/0200441.jpg,
NESQUIK CHOCOLATE 14x400,SABORIZANTES,0200492,2930,2,https://www.cencocal.cl/imagenes/0200492.jpg,
POLVO IMPERIAL SOBRE 6x12x100g,REPOSTERIA,0200506,990,3,https://www.cencocal.cl/imagenes/0200506.jpg,
SOPA MAGGI POLLO/FIDEOS 20x70g,INSTANTANEOS Y SOPAS,0200620,620,101,https://www.cencocal.cl/imagenes/0200620.jpg,
SOPA MAGGI POLLO/ARROZ 20x70g,INSTANTANEOS Y SOPAS,0200638,620,14,https://www.cencocal.cl/imagenes/0200638.jpg,
SOPA MAGGI CARACOLITO 16x76g,INSTANTANEOS Y SOPAS,0200646,620,68,https://www.cencocal.cl/imagenes/0200646.jpg,
CREMA MAGGI ESPARRAGO 20x68g,INSTANTANEOS Y SOPAS,020070K,650,121,https://www.cencocal.cl/imagenes/020070K.jpg,
CREMA MAGGI POLLO 20x72g,INSTANTANEOS Y SOPAS,0200735,650,83,https://www.cencocal.cl/imagenes/0200735.jpg,
CREMA MAGGI CHOCLO 20x79g,INSTANTANEOS Y SOPAS,0200743,650,155,https://www.cencocal.cl/imagenes/0200743.jpg,
TUCO TOMATE CON CARNE 24X245GR,SALSA DE TOMATE,0200778,1720,50,https://www.cencocal.cl/imagenes/0200778.jpg,
PURE DE PAPAS MAGGI 12X250.,INSTANTANEOS Y SOPAS,0200824,2362,1,https://www.cencocal.cl/imagenes/0200824.jpg,
NESCAFE LATA 24 X 100,CAFE Y CEBADA,0200867,5150,89,https://www.cencocal.cl/imagenes/0200867.jpg,
SOPA MAGGI POLLO/SEMOLA 20x68g,INSTANTANEOS Y SOPAS,0200891,620,103,https://www.cencocal.cl/imagenes/0200891.jpg,
SOPA MAGGI COSTILLA 20x60g,INSTANTANEOS Y SOPAS,0200913,620,74,https://www.cencocal.cl/imagenes/0200913.jpg,
CALDO MAGGI AVE 36x48x11gr,CALDOS Y BASES,0200921,5780,34,https://www.cencocal.cl/imagenes/0200921.jpg,
CALDO MAGGI CARNE 36x48x10gr,CALDOS Y BASES,0200930,5780,34,https://www.cencocal.cl/imagenes/0200930.jpg,
CALDO MAGGI COSTILLA 36x48x11gr,CALDOS Y BASES,0200948,5180,36,https://www.cencocal.cl/imagenes/0200948.jpg,
NESCAFE DECAF 24X170 GR.,CAFE Y CEBADA,0200972,9700,38,https://www.cencocal.cl/imagenes/0200972.jpg,
NESCAFE GRANULADO 77x96x1.8g,CAFE Y CEBADA,020099K,12430,6,https://www.cencocal.cl/imagenes/020099K.jpg,
MANJAR NESTLE BOLSA 48x200g,MANJAR,0201006,1140,192,https://www.cencocal.cl/imagenes/0201006.jpg,
CALDO MAGGI VERDURA 36x48x11gr,CALDOS Y BASES,020103K,5810,46,https://www.cencocal.cl/imagenes/020103K.jpg,
MANJAR NESTLE 12 X 1,MANJAR,0201065,3790,163,https://www.cencocal.cl/imagenes/0201065.jpg,
MANJAR NESTLE 24 X 500.,MANJAR,0201090,2730,24,https://www.cencocal.cl/imagenes/0201090.jpg,
CALDO GOUR. CARNE 18x6u,CALDOS Y BASES,0201500,680,27,https://www.cencocal.cl/imagenes/0201500.jpg,
CALDO GOUR. POLLO 18x6u,CALDOS Y BASES,0201501,680,527,https://www.cencocal.cl/imagenes/0201501.jpg,
CALDO GOUR. VERDURAS 18x6u,CALDOS Y BASES,0201503,680,392,https://www.cencocal.cl/imagenes/0201503.jpg,
CALDO GOUR. SAZON.ARROZ 18x6u,CALDOS Y BASES,0201504,680,162,https://www.cencocal.cl/imagenes/0201504.jpg,
SALSA DE SOYA LA PRIMERA 6x1L,ADEREZOS Y SALSAS,0201505,2110,46,https://www.cencocal.cl/imagenes/0201505.jpg,
SALSA DE SOYA LA PRIMER 15x250,ADEREZOS Y SALSAS,0201506,760,104,https://www.cencocal.cl/imagenes/0201506.jpg,
ESENCIA VAINILLA PRIMERA 6x1l,REPOSTERIA,0201507,1590,13,https://www.cencocal.cl/imagenes/0201507.jpg,
ESENCIA VAINI. PRIMERA 15x250,REPOSTERIA,0201508,680,41,https://www.cencocal.cl/imagenes/0201508.jpg,
CALDO GOUR. COSTILLA 18x6u,CALDOS Y BASES,0201510,680,336,https://www.cencocal.cl/imagenes/0201510.jpg,
SALSA P/UNT YOG/CIB LIG 12x200,COCTEL Y OTROS SNACKS,0201513,1480,15,https://www.cencocal.cl/imagenes/0201513.jpg,
SALSA P/UN AJO/OREG LIG 12x200,COCTEL Y OTROS SNACKS,0201515,1480,22,https://www.cencocal.cl/imagenes/0201515.jpg,
CALDO GOUR.TOCIN/AJO/CEB.18x6u,CALDOS Y BASES,0201520,680,118,https://www.cencocal.cl/imagenes/0201520.jpg,
SALSA FRAMBUESA GOURMET 14x280,REPOSTERIA,0201530,2010,23,https://www.cencocal.cl/imagenes/0201530.jpg,
SALSA CHOCOLATE GOURMET 14x280,REPOSTERIA,0201531,2010,20,https://www.cencocal.cl/imagenes/0201531.jpg,
SALSA CARAMELO GOURMET 14x300g,REPOSTERIA,0201532,2010,35,https://www.cencocal.cl/imagenes/0201532.jpg,
POLVO HORNEAR GOURMET 24x100g,REPOSTERIA,0201533,795,82,https://www.cencocal.cl/imagenes/0201533.jpg,
SOPA GOUR. COSTI/FIDEOS 21x62g,INSTANTANEOS Y SOPAS,0201535,480,92,https://www.cencocal.cl/imagenes/0201535.jpg,
SOPA GOUR. POLLO/FIDEO 21x70g,INSTANTANEOS Y SOPAS,0201536,480,133,https://www.cencocal.cl/imagenes/0201536.jpg,
SOPA GOUR. CARACOLITOS 18x74g,INSTANTANEOS Y SOPAS,0201539,480,70,https://www.cencocal.cl/imagenes/0201539.jpg,
SALSA ALFREDO GOURMET 25x41gr,SALSA DE TOMATE,0201540,740,26,https://www.cencocal.cl/imagenes/0201540.jpg,
SALSA CARNE GOURMET 25x30gr,SALSA DE TOMATE,0201541,740,50,https://www.cencocal.cl/imagenes/0201541.jpg,
SALSA BLANCA GOURMET 25x36gr,SALSA DE TOMATE,0201542,740,43,https://www.cencocal.cl/imagenes/0201542.jpg,
BASE GOUR. PESCA.FRITO 20x80g,CALDOS Y BASES,0201543,740,41,https://www.cencocal.cl/imagenes/0201543.jpg,
BASE GOUR. CHAPSUI 25x33g,CALDOS Y BASES,0201544,740,34,https://www.cencocal.cl/imagenes/0201544.jpg,
BASE GOUR. CARNE CACER. 25x36g,CALDOS Y BASES,0201545,740,29,https://www.cencocal.cl/imagenes/0201545.jpg,
GELATINA S/SABOR GOURMET 36x30,POSTRES PARA PREPARAR,0201546,1250,75,https://www.cencocal.cl/imagenes/0201546.jpg,
MERENGUE POLVO GOURMET 18x180g,REPOSTERIA,0201547,1760,14,https://www.cencocal.cl/imagenes/0201547.jpg,
P/MEZCLA CUPC/VAIN GOUR 10x300,REPOSTERIA,0201548,2530,14,https://www.cencocal.cl/imagenes/0201548.jpg,
P/MEZCLA P/BROWNIE GOUR 10x300,REPOSTERIA,0201550,2530,9,https://www.cencocal.cl/imagenes/0201550.jpg,
P/MEZ P/CUPC CHOC GOUR 10x300g,REPOSTERIA,0201551,2530,24,https://www.cencocal.cl/imagenes/0201551.jpg,
COCO RALLADO BCO GOUR 18x100gr,REPOSTERIA,0201552,1540,24,https://www.cencocal.cl/imagenes/0201552.jpg,
CREMA PASTELERA GOURMET 18x78g,REPOSTERIA,0201553,720,42,https://www.cencocal.cl/imagenes/0201553.jpg,
CREMA CHANTIL LUC GOUR 18x56g,REPOSTERIA,0201555,880,33,https://www.cencocal.cl/imagenes/0201555.jpg,
CREMA CHANTILLY GOURMET 18x60g,REPOSTERIA,0201556,770,61,https://www.cencocal.cl/imagenes/0201556.jpg,
BASE GOUR. CEVICHE 25x30g,CALDOS Y BASES,0201557,740,25,https://www.cencocal.cl/imagenes/0201557.jpg,
BIZCOCHO VAINILLA GOUR 8x500g,REPOSTERIA,0201558,2530,3,https://www.cencocal.cl/imagenes/0201558.jpg,
SALSA CHAMPINONES GOUR 25x40g,SALSA DE TOMATE,0201560,740,19,https://www.cencocal.cl/imagenes/0201560.jpg,
CREMA GOURMET ESPARRA. 21x68g,INSTANTANEOS Y SOPAS,0201561,480,107,https://www.cencocal.cl/imagenes/0201561.jpg,
C. GOURMET ALBAHACA 50x6g,CONDIMENTOS,0201562,280,14,https://www.cencocal.cl/imagenes/0201562.jpg,
C. GOURMET JENGI. MOL. 50x15g,CONDIMENTOS,0201563,450,23,https://www.cencocal.cl/imagenes/0201563.jpg,
SOPA GOUR. P/U VERDURAS 40x15g,INSTANTANEOS Y SOPAS,0201566,440,30,https://www.cencocal.cl/imagenes/0201566.jpg,
SOPA GOUR. P/U CARNE 40x15g,INSTANTANEOS Y SOPAS,0201567,440,17,https://www.cencocal.cl/imagenes/0201567.jpg,
CREMA GOUR. P/U ZAPALLO 40x20g,INSTANTANEOS Y SOPAS,0201568,440,50,https://www.cencocal.cl/imagenes/0201568.jpg,
SOPA GOUR.CONSOME POLLO 40x15g,INSTANTANEOS Y SOPAS,0201569,440,25,https://www.cencocal.cl/imagenes/0201569.jpg,
