name;category_ids;sku;regular_price;stock;image_id/gallery_image_ids;descripcion;ppum
LECHE CONDENSADA TARRO 48X397;REPOSTERIA;200018;1930;450;https://www.cencocal.cl/imagenes/0200018.jpg;;$1000 x KG
ECCO CEBADA 24x50g;CAFE Y CEBADA;200263;1410;0;https://www.cencocal.cl/imagenes/0200263.jpg;;$1000 x KG
NESCAFE DOLCA TARRO 24x50g;CAFE Y CEBADA;200328;2130;0;https://www.cencocal.cl/imagenes/0200328.jpg;;$1000 x KG
MILO ACTIGEN TIRA 6x20x28gr;SABORIZANTES;200346;9310;4;https://www.cencocal.cl/imagenes/0200346.jpg;;$1000 x KG
NESCAFE TRADICION TARRO 24X170;CAFE Y CEBADA;200387;7530;158;https://www.cencocal.cl/imagenes/0200387.jpg;;$1000 x KG
MILO 24 X 300.;SABORIZANTES;200395;3410;51;https://www.cencocal.cl/imagenes/0200395.jpg;;$1000 x KG
ECCO 24 X 100;CAFE Y CEBADA;200417;2360;35;https://www.cencocal.cl/imagenes/0200417.jpg;;$1000 x KG
ECCO 24 X 170;CAFE Y CEBADA;200425;3200;64;https://www.cencocal.cl/imagenes/0200425.jpg;;$1000 x KG
NESCAFE DOLCA TARRO 24 X 100;CAFE Y CEBADA;200433;4130;0;https://www.cencocal.cl/imagenes/0200433.jpg;;$1000 x KG
NESCAFE DOLCA TARRO 24 X 170;CAFE Y CEBADA;200441;5330;0;https://www.cencocal.cl/imagenes/0200441.jpg;;$1000 x KG
NESQUIK CHOCOLATE 14x400;SABORIZANTES;200492;2930;0;https://www.cencocal.cl/imagenes/0200492.jpg;;$1000 x KG
POLVO IMPERIAL SOBRE 6x12x100g;REPOSTERIA;200506;1010;0;https://www.cencocal.cl/imagenes/0200506.jpg;;$1000 x KG
SOPA MAGGI POLLO/FIDEOS 20x70g;INSTANTANEOS Y SOPAS;200620;620;0;https://www.cencocal.cl/imagenes/0200620.jpg;;$1000 x KG
SOPA MAGGI POLLO/ARROZ 20x70g;INSTANTANEOS Y SOPAS;200638;620;0;https://www.cencocal.cl/imagenes/0200638.jpg;;$1000 x KG
SOPA MAGGI CARACOLITO 16x76g;INSTANTANEOS Y SOPAS;200646;620;1;https://www.cencocal.cl/imagenes/0200646.jpg;;$1000 x KG
CREMA MAGGI ESPARRAGO 20x68g;INSTANTANEOS Y SOPAS;020070K;650;54;https://www.cencocal.cl/imagenes/020070K.jpg;;$1000 x KG
CREMA MAGGI POLLO 20x72g;INSTANTANEOS Y SOPAS;200735;650;53;https://www.cencocal.cl/imagenes/0200735.jpg;;$1000 x KG
CREMA MAGGI CHOCLO 20x79g;INSTANTANEOS Y SOPAS;200743;650;183;https://www.cencocal.cl/imagenes/0200743.jpg;;$1000 x KG
TUCO TOMATE CON CARNE 24X245GR;SALSA DE TOMATE;200778;1720;3;https://www.cencocal.cl/imagenes/0200778.jpg;;$1000 x KG
NESCAFE LATA 24 X 100;CAFE Y CEBADA;200867;5150;28;https://www.cencocal.cl/imagenes/0200867.jpg;;$1000 x KG
SOPA MAGGI POLLO/SEMOLA 20x68g;INSTANTANEOS Y SOPAS;200891;620;50;https://www.cencocal.cl/imagenes/0200891.jpg;;$1000 x KG
SOPA MAGGI COSTILLA 20x60g;INSTANTANEOS Y SOPAS;200913;620;11;https://www.cencocal.cl/imagenes/0200913.jpg;;$1000 x KG
CALDO MAGGI AVE 36x48x11gr;CALDOS Y BASES;200921;5780;27;https://www.cencocal.cl/imagenes/0200921.jpg;;$1000 x KG
CALDO MAGGI CARNE 36x48x10gr;CALDOS Y BASES;200930;5780;27;https://www.cencocal.cl/imagenes/0200930.jpg;;$1000 x KG
CALDO MAGGI COSTILLA 36x48x11gr;CALDOS Y BASES;200948;5180;35;https://www.cencocal.cl/imagenes/0200948.jpg;;$1000 x KG
NESCAFE DECAF 24X170 GR.;CAFE Y CEBADA;200972;9894;24;https://www.cencocal.cl/imagenes/0200972.jpg;;$1000 x KG
NESCAFE GRANULADO 77x96x1.8g;CAFE Y CEBADA;020099K;12430;74;https://www.cencocal.cl/imagenes/020099K.jpg;;$1000 x KG
MANJAR NESTLE BOLSA 48x200g;MANJAR;201006;1163;112;https://www.cencocal.cl/imagenes/0201006.jpg;;$1000 x KG
CALDO MAGGI VERDURA 36x48x11gr;CALDOS Y BASES;020103K;5810;30;https://www.cencocal.cl/imagenes/020103K.jpg;;$1000 x KG
MANJAR NESTLE 12 X 1;MANJAR;201065;3790;51;https://www.cencocal.cl/imagenes/0201065.jpg;;$1000 x KG
MANJAR NESTLE 24 X 500.;MANJAR;201090;2785;27;https://www.cencocal.cl/imagenes/0201090.jpg;;$1000 x KG
CALDO GOUR. CARNE 18x6u;CALDOS Y BASES;201500;599;32;https://www.cencocal.cl/imagenes/0201500.jpg;;$1000 x KG
CALDO GOUR. POLLO 18x6u;CALDOS Y BASES;201501;599;45;https://www.cencocal.cl/imagenes/0201501.jpg;;$1000 x KG
CALDO GOUR. VERDURAS 18x6u;CALDOS Y BASES;201503;599;40;https://www.cencocal.cl/imagenes/0201503.jpg;;$1000 x KG
CALDO GOUR. SAZON.ARROZ 18x6u;CALDOS Y BASES;201504;599;5;https://www.cencocal.cl/imagenes/0201504.jpg;;$1000 x KG
SALSA DE SOYA LA PRIMERA 6x1L;ADEREZOS Y SALSAS;201505;2152;1;https://www.cencocal.cl/imagenes/0201505.jpg;;$1000 x KG
SALSA DE SOYA LA PRIMER 15x250;ADEREZOS Y SALSAS;201506;650;4;https://www.cencocal.cl/imagenes/0201506.jpg;;$1000 x KG
ESENCIA VAINILLA PRIMERA 6x1l;REPOSTERIA;201507;1622;0;https://www.cencocal.cl/imagenes/0201507.jpg;;$1000 x KG
ESENCIA VAINI. PRIMERA 15x250;REPOSTERIA;201508;694;2;https://www.cencocal.cl/imagenes/0201508.jpg;;$1000 x KG
CALDO GOUR. COSTILLA 18x6u;CALDOS Y BASES;201510;599;58;https://www.cencocal.cl/imagenes/0201510.jpg;;$1000 x KG
SALSA P/UNT YOG/CIB LIG 12x200;COCTEL Y OTROS SNACKS;201513;1510;7;https://www.cencocal.cl/imagenes/0201513.jpg;;$1000 x KG
